route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
402,0000000102024090920250612,0004191922024090920250612,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022024090920250612,0004191932024090920250612,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022024090920250612,0004192042024090920250612,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
396,0000000102024090920250612,0004192062024090920250612,Zambra "Top Center",1,D550_T0332a_Ritorno_sub2,1
396,0000001642024090920250612,0004192072024090920250612,Gardolo S.Anna Carpenedi,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192082024090920250612,Zambra "Top Center",1,D550_T0332a_Ritorno_sub2,1
396,0000000032024090920250612,0004192092024090920250612,Zambra "Top Center",1,D550_T0332a_Ritorno_sub2,1
396,0000000102024090920250612,0004192102024090920250612,Zambra "Top Center",1,D550_T0332a_Ritorno_sub2,1
402,0000000102024090920250612,0004192122024090920250612,Gocciadoro "Arcate",0,D646_T0711_Andata_sub2,1
402,0000000032024090920250612,0004192132024090920250612,Gocciadoro "Arcate",0,D646_T0711_Andata_sub2,1
402,0000000032024090920250612,0004192142024090920250612,Gocciadoro "Arcate",0,D646_T0711_Andata_sub2,1
402,0000000032024090920250612,0004192152024090920250612,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022024090920250612,0004192162024090920250612,Piazza Dante "Dogana",0,D656_T0731_Andata_sub2,1
402,0000000102024090920250612,0004192172024090920250612,Gocciadoro "Arcate",0,D649_T0715_Andata_sub1,1
614,0000000022024090920250612,0004192212024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000022024090920250612,0004192222024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
396,0000000022024090920250612,0004192232024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000092024090920250612,0004192242024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022024090920250612,0004192252024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192262024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192272024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192282024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022024090920250612,0004192292024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192302024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022024090920250612,0004192312024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192322024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022024090920250612,0004192332024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192342024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192352024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192362024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192372024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192382024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192392024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192402024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022024090920250612,0004192412024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192422024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192432024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192442024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192452024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192462024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192472024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192482024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192492024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192502024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000102024090920250612,0004192512024090920250612,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022024090920250612,0004192522024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192532024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192542024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192552024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192562024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192572024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192582024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192592024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192602024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192612024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192622024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192632024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192642024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192652024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192662024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192672024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192682024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192692024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192702024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192712024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192722024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192732024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192742024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192752024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192762024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000102024090920250612,0004192772024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022024090920250612,0004192782024090920250612,Cortesano,1,D565_T0360_Ritorno_sub2,1
536,0000000032024090920250612,0004192792024090920250612,Piazza Dante "Pal. Regione",1,D518_T0154_Ritorno_(via_Cadine)_sub1,1
614,0000000102024090920250612,0004193202024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193212024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193222024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193232024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193242024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193252024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193262024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193272024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193282024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193292024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193302024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193312024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000102024090920250612,0004193322024090920250612,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
